id_pesquisavel;chave_pesquisavel;id_item;descricao;titulo;subtitulo;versao_min_ios;versao_min_android;deeplink;icone;feature_flag;palavras_chave
FEATURE-64595d8ce978937dc23e6a56;64595d8ce978937dc23e6a56;seguros;Escolha um seguro ou gerencie os que você já contratou;Seguros;Escolha um seguro ou gerencie os que você já contratou;11.00.079;11.00.113;picpay://picpay/insurance/hub;shield;;seguro,seguros,vigencia,cancelar seguro,condicoes,manual do segurado,cobertura,protecoes,indenizacao,sinistro,seguranca,acionar,proteger,apolice,protecao,manual seguro,acionar seguro,todos os seguros,seguros picpay,seguros diversos,seguro de vida,seguro carteira,seguro pix,seguro cartao,seguro celular,protecao picpay,seguros diversos,protecao para vida,carteira protegida,proteger  pix,proteger cartao
FEATURE-31554ab7658427c48db06af4;31554ab7658427c48db06af4;complete_seu_cadastro;Conclua seu cadastro pra aproveitar sua conta;Complete seu cadastro;Conclua seu cadastro pra aproveitar sua conta;11.00.006;11.00.006;picpay://picpay/upgradeaccount;profile;feature_onboarding_researchable_old_adjustments;conta limitada,upgrade,completar cadastro,receber pix,limitada,receber pagamento,minha conta foi limitada,atualizar,nao consigo receber pix,atualizar cadastro,receber dinheiro,cadastro,completar
FEATURE-640615649849f6c77281cb59;640615649849f6c77281cb59;ted;Disponível em dias úteis dentro horário comercial, sem taxas;TED;Disponível em dias úteis dentro horário comercial, sem taxas;11.00.089;11.00.139;picpay://picpay/cashin/ted-out;arrows_diagonal;;ted,transferir,transferi,transferencia,transferencias,transferencia ted,fazer ted,transferir dinheiro
FEATURE-6621365b1cbd05fdd47c2c81;6621365b1cbd05fdd47c2c81;versao_do_app;Mantenha seu app atualizado para garantir mais segurança;Versão do app;Mantenha seu app atualizado para garantir mais segurança;11.00.006;11.00.006;picpay://picpay/adjustmentsv2/about;phone_refresh;feature_onboarding_adjustments_v2_enabled;aplicativo,app,atualizar,beta,beta testing,atualizacao,conta,configurar,configuracoes,detalhes do aplicativo,numero da versao,sobre o aplicativo,verificacao,verificar,versao
FEATURE-662130ec47749ccf83dffe6c;662130ec47749ccf83dffe6c;preferencias_de_comunicacao;Escolha quais canais e assuntos quer ser notificado;Preferências de comunicação;Escolha quais canais e assuntos quer ser notificado;11.00.006;11.00.006;picpay://picpay/notification/configuration;bell;feature_onboarding_adjustments_v2_enabled;alerta,alertas,configurar,configuracoes,comunicacao,comunicacoes,dados,minha conta,notificacao,notificacoes,notification,preferencia,preferencias,push
FEATURE-5f134ba76744b5c8a2d84506;5f134ba76744b5c8a2d84506;rendimento_da_conta;Acompanhe o rendimento do seu saldo;Rendimento da conta;Acompanhe o rendimento do seu saldo;10.19.063;10.19.137;picpay://picpay/savings;trend_up;;cdb,guardar dinheiro,rendimentos,cdi,renda,rendimento,quanto rende,rendeu,rendi,quanto rendeu,guarda dinheiro,rendendo,render,redimento
FEATURE-66351578149917f9f3fb06d5;66351578149917f9f3fb06d5;vai_de_bet;Cadastre-se e dobre o valor do seu primeiro depósito;Vai de Bet;Cadastre-se e dobre o valor do seu primeiro depósito;10.19.024;10.19.035;picpay://picpay/webview?url=https://cdn.picpay.com/ads/wv/Vaidebet/Maio-24/VDB-BUSCA-02-05-FINAL.html;currency_circle_dollar;;vaidebet,vai de bet,bet,bet nacional,aposta,futebol,apostar,jogo,vdb
FEATURE-661edb83be73dc7f0596cee4;661edb83be73dc7f0596cee4;ajustes;Configure seu perfil, conta, segurança, serviços e mais;Ajustes;Configure seu perfil, conta, segurança, serviços e mais;10.19.068;10.19.151;picpay://picpay/adjustmentsv2/hub;settings;feature_onboarding_adjustments_v2_enabled;ajuste,ajustes,ajustar,alterar,alterar senha,altera senha,app,biometria,conf,config,configurar,configuracao,configuracoes,cadastro,completar,completar cadastro,conta,cpf,dados,dados pessoais,endereco,esqueci minha senha,enderecos,esqueci,gerenciar,fotos,foto,identidade,meu,mudar,mudar senha,mudar senha configuracoes,mudar configuracao,perfil,recurso,recuperar,redefinir senha,redefinir minha senha,senha,senhs,meus dados,minha conta,minha senha,redefinir,seguranca,sections_order,trocar senha,trocar a senha,trocar,troca senha,recuperar minha senha
FEATURE-5a6c3c35ff5a8c1db8162d3c;5a6c3c35ff5a8c1db8162d3c;pagar_nas_maquininhas;Pague em máquinas PicPay, Cielo, Getnet e Rede escaneando o QR code;Pagar nas Maquininhas;Pague em máquinas PicPay, Cielo, Getnet e Rede escaneando o QR code;;;picpay://picpay/unified-scanner?origin=busca;qr_code;;rede,maquininha,cielo,getnet,maquina de cartao,maquininha picpay,pe de meia,associacao sabesp
FEATURE-compra_planejada_celular;compra_planejada_celular;compra_planejada_de_celular;Escolha o valor do celular e pague em 36x, no boleto ou Pix, sem reajustes;Compra Planejada de Celular;Escolha o valor do celular e pague em 36x, no boleto ou Pix, sem reajustes;11.00.199;11.51.003;picpay://picpay/hubtelecom/consortium?id=66a7fac93a497a648e502069&screen=INICIO&component=BUSCA&origin=BUSCA;phone_currency;is_consortium_klubi_available;klubi,compra planejada,celular,smartphone,samsung,motorola,iphone,consórcio,compra parcelada,parcelar celular
